user,gesture,sequence,x,y,z,time
3,0,10,0.6911114089494308,-0.987077309271094,-0.5381138380229807,2241.0
3,0,10,0.7236114892244607,-0.8673150958665832,-0.4953273447788454,2291.0
3,0,10,0.7459678072781263,-0.7951045758979938,-0.45047651351014806,2322.0
3,0,10,0.7686578017206523,-0.5603396256511723,-0.4096837826316163,2356.0
3,0,10,0.7819381219973072,-0.5219838439440272,-0.3644094974091622,2385.0
3,0,10,0.79577456958873,-0.3348567315052937,-0.31977039311734323,2419.0
3,0,10,0.80171400931045,-0.32064291009781715,-0.2740020782821728,2449.0
3,0,10,0.8046948517176055,-0.2376428075153706,-0.2283396269354426,2484.0
3,0,10,0.8001346077365097,-0.1152101185736973,-0.18265953167397203,2514.0
3,0,10,0.7818713867195352,-0.04282730986077487,-0.13805571521163285,2547.0
3,0,10,0.7580913827400642,0.05470965552477275,-0.09553388068859504,2577.0
3,0,10,0.7134232368179148,0.13779590247938586,-0.054776437639543,2611.0
3,0,10,0.6674203853403226,0.21896543715329383,-0.016983172266784717,2657.0
3,0,10,0.61952670099252,0.30775874876393916,0.018798686825629688,2691.0
3,0,10,0.568963605533832,0.39187872818455055,0.053345471886255345,2721.0
3,0,10,0.5186896962788232,0.45823143084581625,0.08459284489052829,2755.0
3,0,10,0.4760458537824285,0.539702470822307,0.11571671049162364,2785.0
3,0,10,0.4227021217499015,0.5854020602566484,0.1479344988065888,2817.0
3,0,10,0.3604603526810898,0.6321353821569881,0.18043458975739085,2851.0
3,0,10,0.2947261040755362,0.6752291043332922,0.21452263303478092,2882.0
3,0,10,0.23519823630279132,0.7221562510710066,0.24816957844367385,2914.0
3,0,10,0.1650817044568675,0.7703109551120938,0.2794875271069063,2944.0
3,0,10,0.09118350687052276,0.7902318411756026,0.30800009332650324,2977.0
3,0,10,0.008142576229395402,0.8446750843848464,0.3341130871414812,3011.0
3,0,10,-0.05861494663533088,0.8515666341581684,0.3565032149463496,3059.0
3,0,10,-0.1287759686664361,0.8580274620706576,0.3771465951919737,3090.0
3,0,10,-0.21221731097419627,0.8620762475624842,0.3956550617540762,3121.0
