0,1,2,3,4,5,6
1,0,2,-0.057067,-0.008631,0.291689,1972.0
1,0,2,-0.056675,-0.012864,0.291069,2003.0
1,0,2,-0.055655,-0.019197,0.290366,2035.0
1,0,2,-0.054787,-0.024053,0.289575,2067.0
1,0,2,-0.053683,-0.028515,0.288783,2099.0
1,0,2,-0.052992,-0.030712,0.287724,2131.0
1,0,2,-0.051155,-0.034394,0.286365,2164.0
1,0,2,-0.049945,-0.039092,0.285035,2196.0
1,0,2,-0.048901,-0.043029,0.283664,2230.0
1,0,2,-0.047548,-0.046973,0.282211,2260.0
1,0,2,-0.045287,-0.050573,0.280546,2308.0
1,0,2,-0.04252,-0.054926,0.278702,2340.0
1,0,2,-0.040416,-0.057622,0.276752,2371.0
1,0,2,-0.038525,-0.060853,0.273765,2403.0
1,0,2,-0.033765,-0.063991,0.269896,2436.0
1,0,2,-0.031286,-0.066146,0.26525,2468.0
1,0,2,-0.027439,-0.069423,0.261685,2502.0
1,0,2,-0.025187,-0.071311,0.25894,2533.0
1,0,2,-0.021618,-0.072997,0.256805,2564.0
1,0,2,-0.016356,-0.074275,0.25477,2596.0
1,0,2,-0.012842,-0.074912,0.253397,2629.0
1,0,2,-0.008277,-0.075962,0.252233,2661.0
1,0,2,-0.004362,-0.076415,0.250918,2710.0
1,0,2,0.00053,-0.077152,0.249646,2742.0
1,0,2,0.00526,-0.077837,0.248542,2772.0
1,0,2,0.006773,-0.077895,0.247788,2805.0
1,0,2,0.013224,-0.07792,0.247101,2836.0
1,0,2,0.017952,-0.078037,0.2464,2869.0
1,0,2,0.022644,-0.078262,0.245867,2901.0
1,0,2,0.02497,-0.077815,0.245404,2933.0
1,0,2,0.028479,-0.076668,0.245091,2965.0
1,0,2,0.032513,-0.076112,0.244777,2997.0
1,0,2,0.037926,-0.075603,0.244508,3029.0
1,0,2,0.041027,-0.074522,0.244229,3077.0
1,0,2,0.044436,-0.072465,0.243942,3109.0
1,0,2,0.047479,-0.069743,0.243678,3142.0
1,0,2,0.048947,-0.066217,0.243458,3173.0
1,0,2,0.051269,-0.063402,0.243282,3205.0
1,0,2,0.053632,-0.060752,0.243127,3237.0
1,0,2,0.055734,-0.058217,0.242993,3269.0
1,0,2,0.057659,-0.055682,0.242878,3301.0
1,0,2,0.059258,-0.052855,0.24278,3333.0
1,0,2,0.060668,-0.049832,0.2427,3365.0
1,0,2,0.061849,-0.046684,0.242636,3397.0
1,0,2,0.062745,-0.043248,0.242585,3429.0
1,0,2,0.063433,-0.040021,0.242549,3478.0
1,0,2,0.064165,-0.036485,0.242542,3510.0
1,0,2,0.064665,-0.033381,0.24257,3541.0
1,0,2,0.065346,-0.030192,0.242684,3573.0
1,0,2,0.065745,-0.026995,0.242962,3606.0
1,0,2,0.066168,-0.022662,0.243384,3637.0
1,0,2,0.066859,-0.019687,0.243896,3669.0
1,0,2,0.067764,-0.015785,0.24448,3701.0
1,0,2,0.068638,-0.01268,0.24517,3733.0
1,0,2,0.069478,-0.009847,0.245894,3765.0
1,0,2,0.070479,-0.0071,0.246669,3797.0
1,0,2,0.071508,-0.003872,0.247429,3829.0
1,0,2,0.071971,-0.00249,0.248173,3877.0
1,0,2,0.072411,-0.001368,0.248912,3909.0
1,0,2,0.072704,-0.000457,0.249597,3941.0
1,0,2,0.072954,8e-05,0.250218,3973.0
1,0,2,0.07323,0.000247,0.250747,4004.0
1,0,2,0.073483,0.000298,0.251185,4037.0
1,0,2,0.073614,0.00044,0.251625,4069.0
1,0,2,0.073865,0.000433,0.25205,4101.0
1,0,2,0.074036,0.000308,0.252449,4133.0
1,0,2,0.074164,0.000133,0.252812,4164.0
1,0,2,0.074284,-0.000124,0.25311,4198.0
1,0,2,0.074354,-0.000356,0.253373,4229.0
1,0,3,0.098147,-0.034256,0.258244,29.0
1,0,3,0.098279,-0.033944,0.258225,60.0
1,0,3,0.098392,-0.033726,0.258207,92.0
1,0,3,0.098441,-0.033533,0.258189,124.0
1,0,3,0.098503,-0.033406,0.258171,172.0
1,0,3,0.098626,-0.032948,0.258152,205.0
1,0,3,0.098824,-0.032743,0.258134,236.0
1,0,3,0.098855,-0.031427,0.258114,268.0
1,0,3,0.098932,-0.029466,0.258095,301.0
